"Name","Tags","Runtime","Created","Notes","State","alpha","env","learning_rate","timesteps","weight_decay","epoch","global_step","test/loss","test/models[0]/loc-norm","test/models[0]/scale-norm","test/nll","test/nll_weight","test/vae","train/loss","train/models[0]/loc-norm","train/models[0]/scale-norm","train/nll","train/nll_weight","train/vae","val/loss","val/models[0]/loc-norm","val/models[0]/scale-norm","val/nll","val/nll_weight","val/vae"
"lemon-rain-1096","exp1, new loss","5009","2020-10-09T03:58:59.000Z","-","finished","1","Hopper-v3","0.001","194000","0","98","105039","-49.62406921386719","2.084296941757202","0.783014178276062","-49.62406921386719","1","421.9532775878906","-49.523101806640625","2.0928666591644287","0.8103405237197876","-49.523101806640625","1","581.56201171875","-49.53839874267578","2.0792346000671387","0.7867861390113831","-49.53839874267578","1","471.7582092285156"
"comic-cosmos-1095","exp1, new loss","5582","2020-10-09T03:47:03.000Z","-","finished","0","Hopper-v3","0.001","194000","0","69","74270","6.83725118637085","9.535093307495115","1.328525185585022","615091273728","0","6.83725118637085","7.542817115783691","9.759896278381348","1.32660710811615","4182528229376","0","7.542817115783691","8.673161506652832","9.587096214294434","1.3324450254440308","2081998503936","0","8.673161506652832"
"glorious-flower-1097","exp1, new loss","3510","2020-10-09T04:54:01.000Z","-","finished","0.001","Hopper-v3","0.001","194000","0","61","65782","9.159602165222168","4.616602420806885","1.3315991163253784","245.1940155029297","0.0010000001639127731","8.923331260681152","6.502068996429443","4.684713840484619","1.3237762451171875","269.28509521484375","0.0010000000474974513","6.239022731781006","9.89904499053955","4.63782262802124","1.333703875541687","248.8859100341797","0.0009999999310821297","9.659819602966309"
"robust-violet-1094","exp1, new loss","6998","2020-10-09T03:22:22.000Z","-","finished","0.001","Hopper-v3","0.001","184000","0","91","92644","2.981504201889038","1.112595558166504","0.7042169570922852","62.73743438720703","0.0010000000474974513","2.9216885566711426","3.6610875129699703","1.1229732036590576","0.7160961031913757","71.06794738769531","0.0009999999310821297","3.593613386154175","3.35882830619812","1.105852723121643","0.7029675245285034","61.56160354614258","0.0010000000474974513","3.300567626953125"
"exalted-thunder-1093","exp1, new loss","2318","2020-10-09T03:20:17.000Z","-","finished","1","Hopper-v3","0.001","184000","0","46","47329","-45.30872344970703","2.101029872894287","0.9196805357933044","-45.30872344970703","1","939.0055541992188","-46.628536224365234","2.1060891151428223","0.9024990797042848","-46.628536224365234","1","1004.7648315429688","-45.29469299316406","2.0924925804138184","0.9276484847068788","-45.29469299316406","1","1205.608154296875"
"easy-fog-1092","exp1, new loss","6391","2020-10-09T03:07:25.000Z","-","finished","0","Hopper-v3","0.001","184000","0","83","84588","8.046464920043945","10.909570693969728","0.881313145160675","513214366351360","0","8.046464920043945","5.262155055999756","11.011430740356444","0.7949731349945068","562461132455936","0","5.262155055999756","9.27914333343506","10.93565559387207","0.8821780681610107","472669304651776","0","9.27914333343506"
"sandy-butterfly-1089","exp1, new loss","5029","2020-10-09T01:56:23.000Z","-","finished","0","Hopper-v3","0.001","174000","0","69","66640","6.985692024230957","13.515877723693848","0.8590244054794312","237586803064832","0","6.985692024230957","6.468574523925781","13.47565460205078","0.830256998538971","353474634055680","0","6.468574523925781","6.979527950286865","13.614481925964355","0.8586326837539673","248037448351744","0","6.979527950286865"
"fanciful-cosmos-1091","exp1, new loss","4981","2020-10-09T02:23:57.000Z","-","finished","0.001","Hopper-v3","0.001","174000","0","68","65688","9.161720275878906","5.780520439147949","1.400288701057434","325.4419250488281","0.0010000000474974513","8.845123291015625","6.166040420532227","5.835186004638672","1.42479407787323","288.311767578125","0.0009999999310821297","5.883612155914307","9.960430145263672","5.8153886795043945","1.4049023389816284","326.48699951171875","0.0010000000474974513","9.64358615875244"
"dulcet-mountain-1090","exp1, new loss","5014","2020-10-09T01:58:44.000Z","-","finished","1","Hopper-v3","0.001","174000","0","107","102816","-49.793331146240234","2.2197535037994385","0.7596559524536133","-49.793331146240234","1","190.0538330078125","-49.25763702392578","2.216090202331543","0.7429868578910828","-49.25763702392578","1","273.5867614746094","-49.7845573425293","2.192061185836792","0.7627485990524292","-49.7845573425293","1","294.71746826171875"
"clear-salad-1077","exp1, new loss","4960","2020-10-08T21:57:35.000Z","-","finished","0","Hopper-v3","0.001","164000","0","57","52026","8.934374809265137","1.0620726346969604","0.375023752450943","6045.02783203125","0","8.934374809265137","4.527618885040283","1.0807398557662964","0.40412017703056335","7128.3994140625","0","4.527618885040283","6.689757347106934","1.058604717254639","0.373279333114624","5751.6962890625","0","6.689757347106934"
"solar-gorge-1078","exp1, new loss","4169","2020-10-08T22:17:08.000Z","-","finished","1","Hopper-v3","0.001","164000","0","72","65481","-46.79081726074219","2.201585531234741","0.8802855610847473","-46.79081726074219","1","199.15457153320312","-47.148983001708984","2.190024137496948","0.8372086882591248","-47.148983001708984","1","269.2645263671875","-46.783592224121094","2.1857166290283203","0.8811783790588379","-46.783592224121094","1","208.08355712890625"
"serene-sunset-1088","exp1, new loss","4907","2020-10-09T01:45:34.000Z","-","finished","0.001","Hopper-v3","0.001","164000","0","71","64584","3.3312220573425293","1.1702100038528442","0.590986430644989","70.29656982421875","0.0010000001639127731","3.2641897201538086","2.902804374694824","1.159477949142456","0.6082808971405029","66.88652801513672","0.0009999999310821297","2.838756799697876","3.468698024749756","1.166887640953064","0.5903368592262268","68.90972900390625","0.0010000000474974513","3.403191089630127"
