"Name","Tags","Runtime","Created","Notes","State","alpha","env","learning_rate","timesteps","weight_decay","epoch","global_step","test/loss","test/models[0]/loc-norm","test/models[0]/scale-norm","test/nll","test/nll_weight","test/vae","train/loss","train/models[0]/loc-norm","train/models[0]/scale-norm","train/nll","train/nll_weight","train/vae","val/loss","val/models[0]/loc-norm","val/models[0]/scale-norm","val/nll","val/nll_weight","val/vae"
"true-fog-927","exp1, new loss","194","2020-10-05T17:02:54.000Z","-","finished","1","Hopper-v3","0.001","14000","0","37","2926","-28.763952255249023","2.496046304702759","1.115242600440979","-28.763952255249023","1","2.769141912460327","-29.796167373657227","2.616215467453003","1.0160067081451416","-29.796167373657227","1","2.897024631500244","-28.48089027404785","2.4858486652374268","1.1380330324172974","-28.48089027404785","1","2.9828712940216064"
"comfy-morning-927","exp1, new loss","947","2020-10-05T17:02:54.000Z","-","finished","0","Hopper-v3","0.001","24000","0","73","9768","17.6107120513916","15.657761573791504","0.2933708727359772","215238230016","0","17.6107120513916","16.286914825439453","15.50611972808838","0.3009198009967804","148531888128","0","16.286914825439453","18.49978256225586","15.553156852722168","0.29867488145828247","296905211904","0","18.49978256225586"
"flowing-totem-926","exp1, new loss","1019","2020-10-05T17:02:54.000Z","-","finished","0.001","Hopper-v3","0.001","14000","0","136","10549","4.565516948699951","7.250225067138672","1.4938193559646606","473.47509765625","0.0010000000474974513","4.096138000488281","4.671211242675781","7.322371006011963","1.4541035890579224","495.1321716308594","0.0010000001639127731","4.180258750915527","5.407731533050537","7.359319686889648","1.4946422576904297","478.1421203613281","0.0010000000474974513","4.934523582458496"
"morning-pond-957","exp1, new loss","1085","2020-10-05T21:35:45.000Z","-","failed","1","Hopper-v3","0.001","114000","0","33","21216","","","","","","","-42.19462203979492","2.263434886932373","1.0058939456939695","-42.19462203979492","1","366.5065612792969","-42.70782852172851","2.2640626430511475","1.0300136804580688","-42.70782852172851","1","375.6072387695313"
"warm-blaze-936","exp1, new loss","1253","2020-10-05T17:56:50.000Z","-","finished","1","Hopper-v3","0.001","44000","0","69","16870","-39.57368850708008","2.4600586891174316","1.0004929304122925","-39.57368850708008","1","50.18284606933594","-41.810028076171875","2.459885358810425","1.0581709146499634","-41.810028076171875","1","75.69869995117188","-39.41067123413086","2.4626474380493164","1.0355602502822876","-39.41067123413086","1","68.40730285644531"
"honest-bird-927","exp1, new loss","1292","2020-10-05T17:02:54.000Z","-","finished","0","Hopper-v3","0.001","14000","0","179","13860","4.149751663208008","10.377785682678224","0.5568603277206421","37337857785856","0","4.149751663208008","2.7935471534729004","10.29157829284668","0.5724716186523438","6726375440384","0","2.7935471534729004","4.969596862792969","10.356399536132812","0.5618833303451538","1781065842688","0","4.969596862792969"
"zesty-cherry-930","exp1, new loss","1373","2020-10-05T17:06:13.000Z","-","finished","1","Hopper-v3","0.001","24000","0","165","21912","-43.25356674194336","2.5845112800598145","0.9457353949546814","-43.25356674194336","1","12.244519233703612","-43.279579162597656","2.637085199356079","0.9078441262245178","-43.279579162597656","1","23.316781997680664","-43.024654388427734","2.6230309009552","0.937356412410736","-43.024654388427734","1","28.680688858032227"
"earnest-bush-956","exp1, new loss","1455","2020-10-05T21:29:36.000Z","-","failed","0","Hopper-v3","0.001","114000","0","28","18096","","","","","","","6.377567768096924","0.8286058306694031","0.6957172751426697","2869.9775390625","0","6.377567768096924","7.174127101898193","0.8872755169868469","0.7338757514953613","3019.207763671875","0","7.174127101898193"
"decent-voice-933","exp1, new loss","1611","2020-10-05T17:24:31.000Z","-","finished","1","Hopper-v3","0.001","34000","0","121","22692","-43.3469352722168","2.4655914306640625","0.9531157612800598","-43.3469352722168","1","16.41170883178711","-43.198265075683594","2.485424757003784","0.9466294050216676","-43.198265075683594","1","39.87683868408203","-43.378028869628906","2.436970472335815","0.9447150826454164","-43.378028869628906","1","44.149295806884766"
"major-brook-939","exp1, new loss","1633","2020-10-05T18:17:49.000Z","-","finished","1","Hopper-v3","0.001","54000","0","80","23976","-42.3963508605957","2.4372973442077637","1.0248055458068848","-42.3963508605957","1","253.10247802734375","-42.9035530090332","2.459414482116699","0.9891758561134338","-42.9035530090332","1","277.8695373535156","-42.45280456542969","2.4403653144836426","1.0130515098571775","-42.45280456542969","1","257.03167724609375"
"solar-yogurt-943","exp1, new loss","1729","2020-10-05T19:13:47.000Z","-","finished","0.001","Hopper-v3","0.001","64000","0","59","21000","4.094107151031494","0.8826920390129089","0.9976939558982848","74.04086303710938","0.0010000000474974513","4.02409029006958","6.127795696258545","0.9263108372688292","1.0097906589508057","92.10075378417967","0.0010000000474974513","6.041736602783203","5.808341026306152","0.8840540647506714","1.0034900903701782","73.66829681396484","0.0010000000474974513","5.740412712097168"
"charmed-bird-945","exp1, new loss","1765","2020-10-05T19:23:34.000Z","-","finished","1","Hopper-v3","0.001","74000","0","81","33210","-44.288963317871094","2.339498996734619","1.0102505683898926","-44.288963317871094","1","345.4932556152344","-44.42258071899414","2.341834545135498","0.9580215811729432","-44.42258071899414","1","285.8005676269531","-44.318965911865234","2.3333356380462646","1.0008336305618286","-44.318965911865234","1","385.3467712402344"
"giddy-field-942","exp1, new loss","2079","2020-10-05T18:53:32.000Z","-","finished","1","Hopper-v3","0.001","64000","0","109","38500","-42.18899917602539","2.3981761932373047","1.054491400718689","-42.18899917602539","1","406.4490051269531","-44.5101432800293","2.4083828926086426","0.980497181415558","-44.5101432800293","1","273.11865234375","-42.12419128417969","2.410381317138672","1.0578200817108154","-42.12419128417969","1","373.3741760253906"
"polished-donkey-934","exp1, new loss","2086","2020-10-05T17:29:12.000Z","-","finished","0.001","Hopper-v3","0.001","34000","0","100","18786","12.473358154296877","5.127089023590088","1.6548731327056885","316.6189270019531","0.0010000001639127731","12.16890811920166","11.874107360839844","5.173315525054932","1.6622257232666016","321.4831848144531","0.0010000000474974513","11.564188957214355","13.091136932373049","5.134091854095459","1.6835644245147705","307.19110107421875","0.0010000001639127731","12.796741485595703"
"soft-sun-948","exp1, new loss","2167","2020-10-05T19:53:06.000Z","-","finished","1","Hopper-v3","0.001","84000","0","86","40020","-45.09485626220703","2.323202848434448","0.9098180532455444","-45.09485626220703","1","284.51495361328125","-45.36236953735352","2.315633535385132","0.9019417762756348","-45.36236953735352","1","265.9940185546875","-45.040096282958984","2.3037235736846924","0.9254361987113952","-45.040096282958984","1","364.0224304199219"
