"Name","Tags","Runtime","Created","Notes","State","alpha","env","learning_rate","timesteps","weight_decay","epoch","global_step","test/loss","test/models[0]/loc-norm","test/models[0]/scale-norm","test/nll","test/nll_weight","test/vae","train/loss","train/models[0]/loc-norm","train/models[0]/scale-norm","train/nll","train/nll_weight","train/vae","val/loss","val/models[0]/loc-norm","val/models[0]/scale-norm","val/nll","val/nll_weight","val/vae"
"misunderstood-sponge-1031","exp1, new loss","2553","2020-10-08T03:18:53.000Z","-","finished","0.001","Walker2d-v3","0.001","194000","0","41","44562","8.416825294494629","2.5784566402435303","4.687678813934326","287.92510986328125","0.0010000001639127731","8.137036323547363","8.31397819519043","2.458505392074585","4.791832447052002","268.79901123046875","0.0010000000474974513","8.053232192993164","9.234101295471191","2.5684361457824707","4.671288967132568","290.4602355957031","0.0009999999310821297","8.952592849731445"
"neat-donkey-1030","exp1, new loss","4252","2020-10-08T02:56:45.000Z","-","finished","1","Walker2d-v3","0.001","194000","0","100","107161","-25.39530563354492","17.738107681274414","14.550382614135742","-25.39530563354492","1","38.24717712402344","-25.609519958496097","17.386789321899414","13.957468032836914","-25.609519958496097","1","35.75687789916992","-25.276901245117188","17.562543869018555","14.492138862609863","-25.276901245117188","1","31.31212043762207"
"fast-leaf-1029","exp1, new loss","1958","2020-10-08T02:46:10.000Z","-","finished","0","Walker2d-v3","0.001","194000","0","22","24403","8.354715347290039","1.807605266571045","3.0725531578063965","194807.953125","0","8.354715347290039","8.288470268249512","1.6452572345733645","3.325894594192505","167196.875","0","8.288470268249512","9.083211898803713","1.801844835281372","3.070058107376098","205453.015625","0","9.083211898803713"
"peach-breeze-1028","exp1, new loss","3162","2020-10-08T02:39:28.000Z","-","finished","0.001","Walker2d-v3","0.001","184000","0","38","39273","7.98784065246582","2.431842088699341","4.85203742980957","256.00201416015625","0.0010000000474974513","7.739577770233154","7.9635009765625","2.493356943130493","4.841944217681885","268.067138671875","0.0009999999310821297","7.703135967254639","8.919178009033203","2.4406962394714355","4.849937438964844","256.0108642578125","0.0010000000474974513","8.671839714050293"
"hopeful-energy-1027","exp1, new loss","3842","2020-10-08T02:30:50.000Z","-","finished","1","Walker2d-v3","0.001","184000","0","73","74518","-23.76084327697754","16.95388412475586","13.93420696258545","-23.76084327697754","1","34.628780364990234","-23.94078063964844","17.00613784790039","13.841344833374023","-23.94078063964844","1","36.34623336791992","-23.574365615844727","16.926694869995117","13.944010734558104","-23.574365615844727","1","32.34163284301758"
"olive-waterfall-1026","exp1, new loss","2651","2020-10-08T02:01:55.000Z","-","finished","0","Walker2d-v3","0.001","184000","0","32","33231","7.893497943878174","2.099210023880005","2.5983004570007324","152081.984375","0","7.893497943878174","7.564394474029541","2.137859582901001","2.56811785697937","386866.28125","0","7.564394474029541","8.212448120117188","2.105534791946411","2.599729537963867","321234.28125","0","8.212448120117188"
"likely-music-1025","exp1, new loss","3209","2020-10-08T01:37:16.000Z","-","finished","0.001","Walker2d-v3","0.001","174000","0","41","39984","7.441727161407471","2.2038636207580566","5.08562707901001","243.30091857910156","0.0010000000474974513","7.205631256103516","7.346315383911133","2.1896936893463135","5.22608757019043","247.3641815185547","0.0009999999310821297","7.106058120727539","8.604446411132812","2.219883918762207","5.074830532073975","244.3365173339844","0.0010000000474974513","8.368476867675781"
"summer-tree-1024","exp1, new loss","3804","2020-10-08T01:35:59.000Z","-","finished","1","Walker2d-v3","0.001","174000","0","76","73304","-24.46906089782715","17.484283447265625","13.33861255645752","-24.46906089782715","1","22.59906578063965","-24.45526123046875","17.478515625","13.469454765319824","-24.45526123046875","1","22.975013732910156","-24.333093643188477","17.39802360534668","13.358548164367676","-24.333093643188477","1","21.251802444458008"
"denim-mountain-1023","exp1, new loss","1967","2020-10-08T01:29:00.000Z","-","finished","0","Walker2d-v3","0.001","174000","0","25","24752","7.110986232757568","1.5035275220870972","2.8574695587158203","28845.41796875","0","7.110986232757568","7.4392595291137695","1.5936671495437622","2.840423822402954","49789.1796875","0","7.4392595291137695","8.310880661010742","1.5085363388061523","2.858665227890014","27842.826171875","0","8.310880661010742"
"young-music-1022","exp1, new loss","1358","2020-10-08T01:13:12.000Z","-","finished","0.001","Walker2d-v3","0.001","164000","0","18","17043","8.124248504638672","1.5315830707550049","5.288852214813232","276.6209716796875","0.0010000001639127731","7.855482578277588","7.849113464355469","1.4827728271484375","5.428860187530518","243.1374053955078","0.0009999999310821297","7.613588809967041","8.622689247131348","1.5300968885421753","5.292479991912842","274.4649658203125","0.0010000000474974513","8.356581687927246"
